OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu656,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9800,Cuneatibacter,0.6200
Otu657,Bacteria,1.0000,Actinobacteria,1.0000,Coriobacteriia,1.0000,Eggerthellales,1.0000,Eggerthellaceae,1.0000,Gordonibacter,1.0000
Otu658,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9800,Clostridiales,0.9800,Lachnospiraceae,0.5000,Hespellia,0.1500
Otu659,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Clostridium_IV,0.9600
Otu660,Bacteria,1.0000,Firmicutes,0.9600,Clostridia,0.5200,Clostridiales,0.4900,Peptococcaceae_2,0.2200,Paenibacillus,0.1300
Otu661,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Pseudoflavonifractor,0.9700
Otu662,Bacteria,1.0000,Firmicutes,0.9200,Clostridia,0.9200,Clostridiales,0.8800,Ruminococcaceae,0.7700,Intestinimonas,0.4800
Otu663,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Rikenellaceae,1.0000,Alistipes,1.0000
Otu664,Bacteria,1.0000,Actinobacteria,1.0000,Coriobacteriia,1.0000,Eggerthellales,1.0000,Eggerthellaceae,1.0000,Gordonibacter,0.9600
Otu665,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.8500,Hungatella,0.2900
Otu666,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Oscillibacter,0.7800
Otu667,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Prevotellaceae,1.0000,Prevotella,0.6900
Otu668,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Lactobacillaceae,1.0000,Leuconostoc,1.0000
Otu669,Bacteria,1.0000,Firmicutes,0.9500,Clostridia,0.5600,Clostridiales,0.5200,Peptococcaceae_2,0.1700,Pelotomaculum,0.1200
Otu670,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Clostridiales_Incertae_Sedis_XIII,0.9300,Ihubacter,0.8800
Otu671,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Prevotellaceae,1.0000,Prevotella,1.0000
Otu672,Bacteria,1.0000,Firmicutes,0.9100,Clostridia,0.9100,Clostridiales,0.8400,Ruminococcaceae,0.6200,Flintibacter,0.2200
Otu673,Bacteria,1.0000,Firmicutes,0.9700,Clostridia,0.6300,Clostridiales,0.5700,Sporomusaceae,0.1800,Caloramator,0.1100
Otu674,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Cuneatibacter,0.5100
Otu675,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9200,Roseburia,0.4000
Otu676,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Colidextribacter,1.0000
Otu677,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Lactonifactor,1.0000
Otu678,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Bacteroidaceae,1.0000,Bacteroides,1.0000
Otu679,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Clostridiales_Incertae_Sedis_XIII,0.9600,Ihubacter,0.9500
Otu680,Bacteria,1.0000,Fusobacteria,1.0000,Fusobacteriia,1.0000,Fusobacteriales,1.0000,Fusobacteriaceae,1.0000,Cetobacterium,0.6000
Otu681,Bacteria,1.0000,Actinobacteria,1.0000,Coriobacteriia,1.0000,Eggerthellales,1.0000,Eggerthellaceae,1.0000,Gordonibacter,0.9800
Otu682,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Papillibacter,0.4200
Otu683,Bacteria,1.0000,Firmicutes,0.9200,Clostridia,0.9200,Clostridiales,0.9200,Lachnospiraceae,0.9100,Clostridium_XlVa,0.3700
Otu684,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Lactobacillaceae,1.0000,Lacticaseibacillus,1.0000
Otu685,Bacteria,1.0000,Firmicutes,0.9000,Clostridia,0.8500,Clostridiales,0.8500,Peptostreptococcaceae,0.2200,Desulfofarcimen,0.1700
Otu686,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Clostridium_IV,0.2700
Otu687,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Prevotellaceae,1.0000,Prevotella,1.0000
Otu688,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9500,Clostridiales,0.9500,Clostridiaceae_2,0.2900,Alkaliphilus,0.2800
Otu689,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Clostridiales_Incertae_Sedis_XIII,0.9200,Ihubacter,0.9000
Otu690,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Lactobacillaceae,1.0000,Leuconostoc,1.0000
Otu691,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Clostridiales_Incertae_Sedis_XIII,0.9700,Ihubacter,0.6300
Otu692,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Bacteroidaceae,1.0000,Bacteroides,1.0000
Otu693,Bacteria,1.0000,Firmicutes,0.7900,Clostridia,0.7000,Clostridiales,0.6800,Peptococcaceae_2,0.2400,Desulfotomaculum,0.2200
Otu694,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Lawsonibacter,0.4200
Otu695,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.5900,Clostridiales,0.5900,Peptococcaceae_2,0.1500,Bacillus,0.1100
Otu696,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9900,Lachnospiracea_incertae_sedis,0.4200
